h1,h2,h3,h4,h5,h6,url
Not Found,No data,No data,No data,No data,No data,http://www.stat.uchicago.edu/people/phd-students.shtml
No data,News,No data,No data,No data,No data,http://kkdey.github.io/
No data,No data,No data,Log In,No data,No data,https://chicago.academia.edu/SubhajitGoswami
"Social Thought,STUDENT",Share this page,No data,No data,No data,No data,https://socialthought.uchicago.edu/directories/full/STUDENT
No data,No data,"Subhajit Goswami,About me and my research",No data,No data,No data,https://www.stat.uchicago.edu/~sgoswami/
404: Page not found,404,404,404,404,404,https://www.stat.uchicago.edu/~vpatel/
Not Found,No data,No data,No data,No data,No data,https://www.stat.uchicago.edu/~vpatel/
"Social Thought,Uday Jain",Share this page,No data,No data,No data,No data,https://socialthought.uchicago.edu//directory/uday-jain
"Social Thought,Aparna Ravilochan",Share this page,No data,No data,No data,No data,https://socialthought.uchicago.edu//directory/aparna-ravilochan
"Kiran,Pandey,MD","Dr. Pandey
is on Doximity,Education & Training,Certifications & Licensure,Awards, Honors, & Recognition,Publications & Presentations,Professional Memberships,Viewing the full profile is available to verified healthcare professionals only.",No data,No data,No data,No data,https://www.doximity.com/pub/kiran-pandey-md
No data,"Citations per year,Duplicate citations,Merged citations,Add co-authors,Co-authors,Upload PDF,Follow this author","Cited by,Co-authors",No data,No data,No data,https://scholar.google.co.in/citations?user=enYTvroAAAAJ&hl=en
No data,No data,No data,Log In,No data,No data,https://chicago.academia.edu/KushalDey
Scholars take a rights-based approach to tuberculosis epidemic in India,"Latest News,Around UChicago","UChicago’s Crown Family School dedicates building after founding dean Edith Abbott,UChicago intramurals bring together socially distanced students for virtual competition,How llamas named Wally and Winter are helping scientists study COVID-19,Long-accepted theory of vertebrate origin upended by lamprey fossils,,,Inbox too full? Check our archive of recent UChicago News emails.,,,Scientists confirm third-nearest star with a planet—and it’s rocky like Earth,Family background shapes children’s lives despite different social policies in U.S., Denmark,Property tax burdens fall on nation’s lowest-income homeowners,David Nirenberg appointed dean of the Divinity School,UChicago physicist William Irvine selected for $2 million Brown Investigator Aw…,The solar wind, explained,,Big Brains podcast: Anthony Fauci On What We Need To Get Over COVID-19,,A greeting from incoming President Paul Alivisatos to the University community,“For younger people, I want to let them see the future, whatever the present may be.”,What we’ve learned from a year of COVID-19",No data,No data,No data,https://news.uchicago.edu/story/scholars-take-rights-based-approach-tuberculosis-epidemic-india
404: Page not found,404,404,404,404,404,https://www.stat.uchicago.edu/people/phd-students.shtml
Not Found,No data,No data,No data,No data,No data,https://www.stat.uchicago.edu/people/phd-students.shtml
404: Page not found,404,404,404,404,404,https://www.anl.gov/cnm/person/anand-bhattacharya
",,.argonne-logo-style0{fill:#231F20;}
	.argonne-logo-style1{fill:#FFFFFF;}
	.argonne-logo-style2{fill:#007836;}
	.argonne-logo-style3{fill:#0082CA;}
	.argonne-logo-style4{fill:#0B1F8F;}
	.argonne-logo-style5{fill:none;}
	.argonne-logo-style6{fill:#A12B2F;}
	.argonne-logo-style7{fill:#CD202C;}
	.argonne-logo-style8{fill:#77B300;},,Argonne National Laboratory,,,Page Not Found","Footer menu,,.footer-logo-style0{fill:none;}
	.footer-logo-style1{fill:#231F20;},,","Share,,CONTACT US,,Argonne National Laboratory","404,- The page or service you are requesting could not be found.,For other inquiries,For General Argonne Inquiries,For Argonne Visitor Information",No data,No data,https://www.anl.gov/cnm/person/anand-bhattacharya
404: Page not found,404,404,404,404,404,https://www.anl.gov/cnm/person/sridhar-sadasivam
",,.argonne-logo-style0{fill:#231F20;}
	.argonne-logo-style1{fill:#FFFFFF;}
	.argonne-logo-style2{fill:#007836;}
	.argonne-logo-style3{fill:#0082CA;}
	.argonne-logo-style4{fill:#0B1F8F;}
	.argonne-logo-style5{fill:none;}
	.argonne-logo-style6{fill:#A12B2F;}
	.argonne-logo-style7{fill:#CD202C;}
	.argonne-logo-style8{fill:#77B300;},,Argonne National Laboratory,,,Page Not Found","Footer menu,,.footer-logo-style0{fill:none;}
	.footer-logo-style1{fill:#231F20;},,","Share,,CONTACT US,,Argonne National Laboratory","404,- The page or service you are requesting could not be found.,For other inquiries,For General Argonne Inquiries,For Argonne Visitor Information",No data,No data,https://www.anl.gov/cnm/person/sridhar-sadasivam
No data,"Citations per year,Duplicate citations,Merged citations,Add co-authors,Co-authors,Upload PDF,Follow this author","Cited by,Co-authors,View all",No data,No data,No data,https://scholar.google.co.in/citations?user=phhJuukAAAAJ&hl=en
404: Page not found,404,404,404,404,404,"https://www.anl.gov/sites/www/files/www1/sites/anl.gov/files/Sadasivam,%20Sridhar%20-%20Bio.pdf"
",,.argonne-logo-style0{fill:#231F20;}
	.argonne-logo-style1{fill:#FFFFFF;}
	.argonne-logo-style2{fill:#007836;}
	.argonne-logo-style3{fill:#0082CA;}
	.argonne-logo-style4{fill:#0B1F8F;}
	.argonne-logo-style5{fill:none;}
	.argonne-logo-style6{fill:#A12B2F;}
	.argonne-logo-style7{fill:#CD202C;}
	.argonne-logo-style8{fill:#77B300;},,Argonne National Laboratory,,,Page Not Found","Footer menu,,.footer-logo-style0{fill:none;}
	.footer-logo-style1{fill:#231F20;},,","Share,,CONTACT US,,Argonne National Laboratory","404,- The page or service you are requesting could not be found.,For other inquiries,For General Argonne Inquiries,For Argonne Visitor Information",No data,No data,"https://www.anl.gov/sites/www/files/www1/sites/anl.gov/files/Sadasivam,%20Sridhar%20-%20Bio.pdf"
"NPI 1659682482 Dr. Kiran Raj Pandey in Chicago - Address, Medicare Status, and Contact",No data,Post Comments / Review Below,No data,No data,No data,https://npino.com/npi/1659682482-dr.-kiran-raj-pandey/
No data,No data,No data,No data,No data,No data,https://nagelgroup.uchicago.edu/Nagel-Group/members.html
404: Page not found,404,404,404,404,404,https://epic.uchicago.edu/experts/pooja-vijay-ramamurthi
Error Message,No data,No data,"Themes & Topics,Centers & Initiatives,Trending,Themes & Topics,Centers & Initiatives,Trending,UChicago Community (If applicable)…,Interested In…",No data,No data,https://epic.uchicago.edu/experts/pooja-vijay-ramamurthi
Chapin Hall,"Sonali Patel,Key Work",Policy Fellow,No data,"Impact Areas,Contact Information",Please give us some information…,https://www.chapinhall.org/person/sonali-patel/
",People","Professor,Research Scientist,Postdocs,Graduate Students,Undergraduates,Lab photos,Alumni",No data,No data,No data,No data,http://squishycell.uchicago.edu/people.html
No data,"Citations per year,Duplicate citations,Merged citations,Add co-authors,Co-authors,Upload PDF,Follow this author","Cited by,View all,Co-authors",No data,No data,No data,https://scholar.google.com/citations?user=Lxe_vxAAAAAJ&hl=en
No data,"Citations per year,Duplicate citations,Merged citations,Add co-authors,Co-authors,Upload PDF,Follow this author","Cited by,View all,Co-authors,View all",No data,No data,No data,https://scholar.google.co.in/citations?user=kL-RSZAAAAAJ&hl=en
404: Page not found,404,404,404,404,404,https://www.anl.gov/cnm/person/kiran-sasikumar
",,.argonne-logo-style0{fill:#231F20;}
	.argonne-logo-style1{fill:#FFFFFF;}
	.argonne-logo-style2{fill:#007836;}
	.argonne-logo-style3{fill:#0082CA;}
	.argonne-logo-style4{fill:#0B1F8F;}
	.argonne-logo-style5{fill:none;}
	.argonne-logo-style6{fill:#A12B2F;}
	.argonne-logo-style7{fill:#CD202C;}
	.argonne-logo-style8{fill:#77B300;},,Argonne National Laboratory,,,Page Not Found","Footer menu,,.footer-logo-style0{fill:none;}
	.footer-logo-style1{fill:#231F20;},,","Share,,CONTACT US,,Argonne National Laboratory","404,- The page or service you are requesting could not be found.,For other inquiries,For General Argonne Inquiries,For Argonne Visitor Information",No data,No data,https://www.anl.gov/cnm/person/kiran-sasikumar
404: Page not found,404,404,404,404,404,https://pme.uchicago.edu/tirrell_lab/people/samanvaya_srivastava/
Oops!,No data,No data,No data,No data,No data,https://pme.uchicago.edu/tirrell_lab/people/samanvaya_srivastava/
",,,,,,,,,,,,,Director, Scientific Research,Energy Policy Institute at Chicago,/,Department of Economics,University of Chicago,Investigator,Climate Impact Lab,,,Curriculum Vitae,,",Ashwin Rode,",Home,",No data,No data,No data,https://sites.google.com/site/ashwinrode/
No data,"Citations per year,Duplicate citations,Merged citations,Add co-authors,Co-authors,Upload PDF,Follow this author","Cited by,View all,Co-authors,View all",No data,No data,No data,https://scholar.google.co.in/citations?user=vpmoEuAAAAAJ&hl=en
PhD Program,"Join a Community of Bold Thinkers,,Explore Our PhD Dissertation Areas and Joint PhD Programs,,,Join Our Research Community,,How to Apply for and Fund Your PhD,,Explore PhD Admissions,,,Attend a PhD Admissions Event,,,Explore Financial Aid,,Begin Your PhD Journey,Meet Our Alumni and Job Market Candidates,,Discover Our Alumni Success,,,See Our PhD Job Market Candidates,,,Celebrating 100 Years of Pioneering Research,,,IDDEAS@Booth/Kellogg,,Stories from the PhD Community,,Measuring Preferences for Privacy,,,A PhD for Social Impact,,Contact Us,Explore,Other Offerings,,Global Locations,,Follow",No data,No data,",Start Your PhD Application,,",No data,https://www.chicagobooth.edu/phd
JavaScript is not available.,No data,No data,No data,No data,No data,https://twitter.com/thebihari
Ashwin Rode,"Media Inquires,,Related Research,,Rent-Seeking over Tradable Emission Permits: Theory and Evidence,The Social Cost of Lobbying Over Climate Policy,Valuing the Global Mortality Consequences of Climate Change Accounting for Adaptation Costs and Benefits,Returns to Lobbying over Climate Policy,,Related Insights & Impacts,,,Valuing the Global Mortality Consequences of Climate Change Accounting for Adaptation Costs and Benefits,,Valuing the Global Mortality Consequences of Climate Change Accounting for Adaptation Costs and Benefits,Related News & Events,,Global Death Rate From Rising Temperatures Projected To Surpass The Current Death Rate Of All Infectious Diseases Combined, Study Shows,,Lessons Learned From the Last Major U.S. Climate Bill: Lobbying Takes its Toll,,New Global Mortality Study Estimates Climate Damages,,Life and Death in Our Hot Future Will Be Shaped by Today’s Income Inequality,,The Lobbying Against One Bill Cost All Of Us $60 Billion In Climate Damages, Economists Say,,Lobbying Cost Of US Cap-And-Trade Bill Estimated At 1% Its Climate Cost,,Estimating Returns to Lobbying over Climate Policy,,Lobbying and Border Carbon Adjustments",",Epic News,,,In The News,,,Events,","Themes & Topics,Centers & Initiatives,Trending,Themes & Topics,Centers & Initiatives,Trending,UChicago Community (If applicable)…,Interested In…",No data,No data,https://epic.uchicago.edu/people/ashwin-rode/
404: Page not found,404,404,404,404,404,https://www.chapinhall.org/people/denali-dasgupta
Chapin Hall,Uh-Oh...Page not found!,Try searching for content:,No data,No data,Please give us some information…,https://www.chapinhall.org/people/denali-dasgupta
404: Page not found,404,404,404,404,404,https://geosci.uchicago.edu/people/mohit-melwani-daswani/
"Department of the GeoPhysical Sciences,Page Not Found",No data,The University of Chicago,No data,No data,No data,https://geosci.uchicago.edu/people/mohit-melwani-daswani/
No data,No data,No data,Log In,No data,No data,https://chicago.academia.edu/SayantanMajumdar
404: Page not found,404,404,404,404,404,https://pme.uchicago.edu/tirrell_lab/People/Samanvaya_Srivastava.html
Oops!,No data,No data,No data,No data,No data,https://pme.uchicago.edu/tirrell_lab/People/Samanvaya_Srivastava.html
404: Page not found,404,404,404,404,404,http://www.contechicago.org/kaananshah
"Cannabis Licensing - Cannabis Opinion, News, Types, and Events (CONTE)",Cannabis Licensing & Compliance,No data,No data,No data,No data,http://www.contechicago.org/kaananshah
Manudeep Bhuller,No data,No data,No data,No data,No data,https://sites.google.com/site/manudeepbhuller/home
Dibyendu Kumar Sasmal,No data,",Cathepsin-Mediated Cleavage of Peptides from Peptide Amphiphiles Leads to Enhanced Intracellular Pep,,,T cell co-stimulatory receptor CD28 is a primary target for PD-1–mediated inhibition,,,Single-molecule fluorescence resonance energy transfer in molecular biology,",Postdoctoral Scholar,No data,No data,https://pme.uchicago.edu/people/dibyendu-kumar-sasmal
"People,Center Leadership,Researchers,Postdoctoral Scholars,Graduate Students,Undergraduate Students,High School Students,Staff",No data,No data,No data,No data,No data,http://www.rdcep.org/people/
Radhika Goyal,Media Inquires,No data,"Themes & Topics,Centers & Initiatives,Trending,Themes & Topics,Centers & Initiatives,Trending,UChicago Community (If applicable)…,Interested In…",No data,No data,https://epic.uchicago.edu/people/radhika-goyal/
"Anupam B. Jena, MD, PhD","Mobile Main Navigation,Mobile Utility Navigation,Utility Navigation,Main navigation,Bio,CV,Faculty Assistant,Footer",No data,No data,"Anupam B. Jena, MD, PhD,,,Taylor Dragin,,",No data,https://hcp.hms.harvard.edu/people/anupam-b-jena
Drupal,Select an installation profile,No data,No data,No data,No data,https://cmts.uchicago.edu/install.php
"Directory,Sasmita Sahoo",No data,Matthew Letke,No data,No data,No data,http://www.rdcep.org/directory/2016/6/13/sasmita-sahoo
Drupal,Select an installation profile,No data,No data,No data,No data,https://cmts.uchicago.edu/install.php
Harshil Sahai,"Media Inquires,Related News & Events,,EPIC Launches New Graduate Fellows Program in Economics and Policy,,Meet EPIC’s Research Fellows,,Understanding Defensive Health Behavior: Evidence from Pollution Masks in Delhi (with Patrick Baylis, Michael Greenstone, Kenneth Lee)",",Epic News,,,Events,","Themes & Topics,Centers & Initiatives,Trending,Themes & Topics,Centers & Initiatives,Trending,UChicago Community (If applicable)…,Interested In…",No data,No data,https://epic.uchicago.edu/people/harshil-sahai/
One account. All of Google.,Sign in to continue to Google Sites,No data,No data,No data,No data,https://accounts.google.com/ServiceLogin?service=jotspot&passive=1209600&continue=https://sites.google.com/site/sites/system/errors/WebspaceNotFound?path%3D/manudeepbhuller/BhullerCV.pdf&followup=https://sites.google.com/site/sites/system/errors/WebspaceNotFound?path%3D/manudeepbhuller/BhullerCV.pdf
"Department of the GeoPhysical Sciences,People","Ramesh Srivastava,Professor, Emeritus","Research Interests,Selected Publications,Appointments,Group,Research Area,The University of Chicago",No data,No data,No data,https://geosci.uchicago.edu/people/ramesh-srivastava/
"History,Dipesh Chakrabarty","Lawrence A. Kimpton Distinguished Service Professor of History, South Asian Languages and Civilizations, and the College",No data,"Mailing Address,Field Specialties,Biography,Research Statement,Lectures (selected),Publications (selected),News","Books in press,Books in preparation,Books published,Forthcoming articles,Recent articles",No data,https://history.uchicago.edu/directory/dipesh-chakrabarty
"Valluvan Jeevanandam, MD","Cynthia Chow Professor of Surgery,Chief, Section of Cardiac Surgery,Director, Heart and Vascular Center,,We now offer video visits, so you can see a doctor from your mobile device or computer.,Helping Patients No Other Doctors Can Save,One Year Anniversary of Historic Back-to-Back Triple Transplants,UChicago Medicine performs historic back-to-back triple-organ transplants,Read more from Dr. Valluvan Jeevanandam","See All Patient & Visitor Information,See All Health Care Professionals Information,Research & Clinical Trials,Appointments,Contact Us,Patient Portal,Online Bill Pay,,Locations,,,Specialties & Areas of Expertise,,Specialties,Areas of Expertise,,Education,,Medical Education,Residency,Fellowship,,Memberships & Medical Societies,,Memberships & Medical Societies,,Insurance Plans Accepted,,I'd Like to,Patients & Visitors,Health Care Professionals,Research & Clinical Trials","Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial,At a Glance,Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial",",UChicago Faculty Physicians,Open for more information,,,To Request an Appointment",No data,https://www.uchicagomedicine.org/find-a-physician/physician/valluvan-jeevanandam
404: Page not found,404,404,404,404,404,https://biosciences.uchicago.edu/programspage/vinay-kumar-mbbs-md-frcpath
Page not found,No data,No data,No data,No data,No data,https://biosciences.uchicago.edu/programspage/vinay-kumar-mbbs-md-frcpath
404: Page not found,404,404,404,404,404,https://biosciences.uchicago.edu/programspage/ravi-salgia-md-phd
Page not found,No data,No data,No data,No data,No data,https://biosciences.uchicago.edu/programspage/ravi-salgia-md-phd
404: Page not found,404,404,404,404,404,http://med-spportal01.bsd.uchicago.edu/FacultyPro/faculty_profile.aspx?empl_id=10270
No data,No data,No data,No data,No data,No data,http://med-spportal01.bsd.uchicago.edu/FacultyPro/faculty_profile.aspx?empl_id=10270
"The University of Chicago Harris School of Public Policy,Raaj Sah,","Utility,Utility,Recent News,Upcoming Events,Footer menu,Connect with Us,Questions?","Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,Considering Applying?,About,Raaj Sah,,Contact Information,Harris School of Public Policy Partners with Leading Policy Schools to Diversify and Support PhD Applicants,,Alumni Profile: Brandon Williams, DPSS’20,,,Women In Policy Panel,,,Data and Policy Summer Scholar Virtual Drop In,",No data,No data,No data,http://harris.uchicago.edu/directory/raaj-sah
"The University of Chicago The Law School,Anup Malani,","Biography,Education and Experience,Publications,Presentations,Additional Activities","Office,Program Affiliation,Education,Experience,Books (Editor),Journal Articles,Book Sections,Working Papers,Other Publications,Organized Conferences and Seminars,EDITORIAL WORK",No data,No data,No data,https://www.law.uchicago.edu/faculty/malani
Yamuna Krishnan,"Education & Past Positions,Faculty Accolades,Footer Links 1,Footer Links 2,Contact Us,The University of Chicago,Copyright Menu",No data,No data,No data,No data,https://chemistry.uchicago.edu/faculty/yamuna-krishnan
Viresh Rawal,"Education & Past Positions,Faculty Accolades,Footer Links 1,Footer Links 2,Contact Us,The University of Chicago,Copyright Menu",No data,"Activity in my research group is aimed at discovering new ways to make complex molecules, designing unique strategies to families of natural products, and developing broadly effective methods for chemical synthesis, with a focus on enantioselective methods.",No data,No data,https://chemistry.uchicago.edu/faculty/viresh-rawal
404: Page not found,404,404,404,404,404,https://www.law.uchicago.edu/node/582/cv
The University of Chicago The Law School,No data,No data,No data,No data,No data,https://www.law.uchicago.edu/node/582/cv
"Nishant Agrawal, MD","Professor of Surgery,Chief, Section of Otolaryngology-Head and Neck Surgery,Director, Head and Neck Surgical Oncology,,Read More About Otolaryngology","See All Patient & Visitor Information,See All Health Care Professionals Information,Research & Clinical Trials,Appointments,Contact Us,Patient Portal,Online Bill Pay,,Locations,,,Specialties & Areas of Expertise,,Specialties,Areas of Expertise,,Education,,Medical Education,Internship,Residency,Fellowship,,Memberships & Medical Societies,,Memberships & Medical Societies,,Insurance Plans Accepted,,I'd Like to,Patients & Visitors,Health Care Professionals,Research & Clinical Trials","Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial,At a Glance,Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial",",UChicago Faculty Physicians,Open for more information,,,To Request an Appointment",No data,https://www.uchicagomedicine.org/find-a-physician/physician/nishant-agrawal
404: Page not found,404,404,404,404,404,https://www.law.uchicago.edu/node/16941/cv
The University of Chicago The Law School,No data,No data,No data,No data,No data,https://www.law.uchicago.edu/node/16941/cv
"Mohan S. Gundeti, MD","Professor of Surgery, Pediatrics and Obstetrics and Gynecology,Director, Pediatric Urology,","See All Patient & Visitor Information,See All Health Care Professionals Information,Research & Clinical Trials,Appointments,Contact Us,Patient Portal,Online Bill Pay,,Locations,,,Specialties & Areas of Expertise,,Specialties,Areas of Expertise,,Education,,Medical Education,Internship,Residency,Fellowship,Other Grad Education,,Memberships & Medical Societies,,Memberships & Medical Societies,,Insurance Plans Accepted,,I'd Like to,Patients & Visitors,Health Care Professionals,Research & Clinical Trials","Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial,At a Glance,Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial",",UChicago Faculty Physicians,Open for more information,,,To Request an Appointment",No data,https://www.uchicagomedicine.org/find-a-physician/physician/mohan-s-gundeti
"Directory,Devshi Mehrotra",No data,Matthew Letke,No data,No data,No data,http://www.rdcep.org/directory/2016/4/4/devshi-mehrotra
404: Page not found,404,404,404,404,404,http://med-spportal01.bsd.uchicago.edu/FacultyPro/faculty_profile.aspx?empl_id=10229
No data,No data,No data,No data,No data,No data,http://med-spportal01.bsd.uchicago.edu/FacultyPro/faculty_profile.aspx?empl_id=10229
Haresh Sapra,"Biography,Research Interests,Academic Areas,Selected Publications,Working Papers,2020 - 2021 Course Schedule,2020 - 2021 Executive Education Schedule,,Get the Latest Insights from Haresh Sapra in Chicago Booth Review,,Explore,Other Offerings,,Global Locations,,Follow",No data,No data,No data,No data,https://www.chicagobooth.edu/faculty/directory/s/haresh-sapra
Anil Kashyap,"Biography,Research Interests,Academic Areas,Selected Publications,2020 - 2021 Course Schedule,,Get the Latest Insights from Anil Kashyap in Chicago Booth Review,,Explore,Other Offerings,,Global Locations,,Follow",No data,No data,No data,No data,https://www.chicagobooth.edu/faculty/directory/k/anil-kashyap
"Anita Blanchard, MD","Professor of Obstetrics and Gynecology,Associate Dean for Graduate Medical Education,,We now offer video visits, so you can see a doctor from your mobile device or computer.","See All Patient & Visitor Information,See All Health Care Professionals Information,Research & Clinical Trials,Appointments,Contact Us,Patient Portal,Online Bill Pay,,Locations,,,Specialties & Areas of Expertise,,Specialties,Areas of Expertise,,Education,,Medical Education,Internship,Residency,,Memberships & Medical Societies,,Memberships & Medical Societies,,Insurance Plans Accepted,,I'd Like to,Patients & Visitors,Health Care Professionals,Research & Clinical Trials","Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial,At a Glance,Schedule a Virtual Visit,Patient Portal,Coronavirus Resources for Employees,Find a Clinical Trial",",UChicago Faculty Physicians,Open for more information,,,To Request an Appointment",No data,https://www.uchicagomedicine.org/find-a-physician/physician/anita-k-blanchard
404: Page not found,404,404,404,404,404,http://www.ucurology.org/faculty/mohan-gundeti-md-frcs-feapu
Not Found,No data,No data,No data,No data,No data,http://www.ucurology.org/faculty/mohan-gundeti-md-frcs-feapu
"Directory,Tanu Malik",No data,Matthew Letke,No data,No data,No data,http://www.rdcep.org/directory/2016/6/13/tanu-malik
Cabinet,No data,No data,No data,No data,No data,http://sg.uchicago.edu/cabinet/
404: Page not found,404,404,404,404,404,http://bmb.bsd.uchicago.edu/faculty/soma-das
No data,No data,Web Site Not Found,No data,No data,No data,http://bmb.bsd.uchicago.edu/faculty/soma-das
Systems Group,"Department of Computer Science,,The University of Chicago,Computer Science Systems Faculty,Additional UC Computer Science and UChicago Researchers,Computation Institute and Argonne Scientists (active collaborations*)",No data,No data,No data,No data,http://systems.cs.uchicago.edu/faculty/
404: Page not found,404,404,404,404,404,https://genes.uchicago.edu/directory/soma-das-phd
Oops!,No data,No data,No data,No data,No data,https://genes.uchicago.edu/directory/soma-das-phd
Facebook,No data,No data,No data,No data,No data,https://www.facebook.com/suchi.bansal.73/about?lst=100001539709231%3A577046713%3A1482815781&section=education&pnref=about
No data,No data,No data,No data,No data,No data,https://neurobiology.uchicago.edu/our-faculty
404: Page not found,404,404,404,404,404,https://pme.uchicago.edu/rowan_group/people/undergraduates/nevin_naren/
Oops!,No data,No data,No data,No data,No data,https://pme.uchicago.edu/rowan_group/people/undergraduates/nevin_naren/
No data,"Citations per year,Duplicate citations,Merged citations,Add co-authors,Co-authors,Upload PDF,Follow this author","Cited by,View all,Co-authors",No data,No data,No data,https://scholar.google.co.in/citations?user=r7UOY8UAAAAJ&hl=en
404: Page not found,404,404,404,404,404,https://pme.uchicago.edu/guha_lab/people/sushant_sonde/
Oops!,No data,No data,No data,No data,No data,https://pme.uchicago.edu/guha_lab/people/sushant_sonde/
404: Page not found,404,404,404,404,404,https://neurology.uchicago.edu/page/pgy-iii-residents
Oops!,No data,No data,No data,No data,No data,https://neurology.uchicago.edu/page/pgy-iii-residents
404: Page not found,404,404,404,404,404,https://pme.uchicago.edu/guha_lab/people/
Oops!,No data,No data,No data,No data,No data,https://pme.uchicago.edu/guha_lab/people/
People,No data,"Melissa Gilliam MD, MPH,Crystal Pirtle Tyler, PhD, MPH,Patrick Jagoda, PhD,Lee Hasselbacher, J.D.,Amanda Geppert, MPH, MDM,Valerie Reynolds, MS, MBA,Mason Arrington,Suchi Bansal, MPH,Ireashia Bennett,Quinn Burrell,Adge Brodyn, MAC, MA, LPC,Erin Garcia, MS,Robin Cogdell, MFA,Emily Moss,Amy Moore, MSc,Ailea Stites",No data,No data,No data,https://ci3.uchicago.edu/people/
404: Page not found,404,404,404,404,404,https://familymedicine.uchicago.edu/People/MeeraSharma
Oops!,No data,No data,No data,No data,No data,https://familymedicine.uchicago.edu/People/MeeraSharma
404: Page not found,404,404,404,404,404,https://familymedicine.uchicago.edu/People/MiralPatel
Oops!,No data,No data,No data,No data,No data,https://familymedicine.uchicago.edu/People/MiralPatel
404: Page not found,404,404,404,404,404,https://familymedicine.uchicago.edu/People/MorganSanthamoorthy
Oops!,No data,No data,No data,No data,No data,https://familymedicine.uchicago.edu/People/MorganSanthamoorthy
404: Page not found,404,404,404,404,404,https://familymedicine.uchicago.edu/People/KristinaSharma
Oops!,No data,No data,No data,No data,No data,https://familymedicine.uchicago.edu/People/KristinaSharma
404: Page not found,404,404,404,404,404,https://familymedicine.uchicago.edu/People/TameraAkarah
Oops!,No data,No data,No data,No data,No data,https://familymedicine.uchicago.edu/People/TameraAkarah
People,Resources,Quick Links,"Faculty Affairs,Diversity & Inclusion,Human Resources",No data,No data,https://familymedicine.uchicago.edu/people
People,Resources,Quick Links,"Faculty Affairs,Diversity & Inclusion,Human Resources",No data,No data,https://familymedicine.uchicago.edu/people
People,Resources,Quick Links,"Faculty Affairs,Diversity & Inclusion,Human Resources",No data,No data,https://familymedicine.uchicago.edu/people
No data,"Citations per year,Duplicate citations,Merged citations,Add co-authors,Co-authors,Upload PDF,Follow this author","Cited by,View all,Co-authors",No data,No data,No data,https://scholar.google.com/citations?user=4dDO-10AAAAJ&hl=en
404: Page not found,404,404,404,404,404,http://med-spportal01.bsd.uchicago.edu/FacultyPro/faculty_profile.aspx?empl_id=12540
No data,No data,No data,No data,No data,No data,http://med-spportal01.bsd.uchicago.edu/FacultyPro/faculty_profile.aspx?empl_id=12540
People,Resources,Quick Links,"Faculty Affairs,Diversity & Inclusion,Human Resources",No data,No data,https://familymedicine.uchicago.edu/people
404: Page not found,404,404,404,404,404,http://med-spportal01.bsd.uchicago.edu/FacultyPro/faculty_profile.aspx?empl_id=10288
No data,No data,No data,No data,No data,No data,http://med-spportal01.bsd.uchicago.edu/FacultyPro/faculty_profile.aspx?empl_id=10288
No data,Nirali Trivedi,No data,"Research Assistant (Undergraduate Student, Economics),Search",":,niralitrivedi@uchicago.edu",No data,https://cehd.uchicago.edu/?page_id=449
404: Page not found,404,404,404,404,404,https://www.anl.gov/sites/www/files/www1/sites/anl.gov/files/sumant.pdf
",,.argonne-logo-style0{fill:#231F20;}
	.argonne-logo-style1{fill:#FFFFFF;}
	.argonne-logo-style2{fill:#007836;}
	.argonne-logo-style3{fill:#0082CA;}
	.argonne-logo-style4{fill:#0B1F8F;}
	.argonne-logo-style5{fill:none;}
	.argonne-logo-style6{fill:#A12B2F;}
	.argonne-logo-style7{fill:#CD202C;}
	.argonne-logo-style8{fill:#77B300;},,Argonne National Laboratory,,,Page Not Found","Footer menu,,.footer-logo-style0{fill:none;}
	.footer-logo-style1{fill:#231F20;},,","Share,,CONTACT US,,Argonne National Laboratory","404,- The page or service you are requesting could not be found.,For other inquiries,For General Argonne Inquiries,For Argonne Visitor Information",No data,No data,https://www.anl.gov/sites/www/files/www1/sites/anl.gov/files/sumant.pdf
